postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Lat,Lon
2000,66,821,2.8,2677,99,1556,1022,23,40,3,56265,"360,097",72.1,-33.86956663,151.206748
2007,31,288,7.3,440,82,358,0,21,10,0,16683,"106,772",21.4,-33.88002149,151.1975342
2008,99,1253,6.1,939,275,664,0,77,22,0,19225,"123,041",24.7,-33.88729744,151.1974754
2009,27,676,1.9,1667,50,662,955,13,11,3,18489,"118,330",23.8,-33.87224739,151.1942878
2010,224,4212,4.4,1641,718,923,0,187,37,0,55246,"353,576",71.1,-33.88348985,151.213735
2011,58,1609,2.1,863,129,734,0,34,24,0,27559,"176,379",35.7,-33.87233988,151.2245885
2015,315,1882,11.4,6458,900,4036,1522,215,96,4,111985,"716,707",144.7,-33.90952536,151.1995149
2016,161,2135,6.6,1313,522,507,284,141,19,1,25204,"161,303",32.4,-33.89316195,151.2035299
2017,112,1282,5.9,1662,324,1338,0,76,36,0,38899,"248,954",50,-33.90552973,151.2066164
2018,494,2772,15.7,3251,2012,1239,0,436,58,0,55474,"355,036",71.4,-33.91535002,151.204709
2019,491,2432,16,4952,1766,3186,0,390,101,0,111059,"710,774",145.9,-33.94962188,151.2038146
2020,436,2236,17,4364,1688,1967,709,380,54,2,89051,"569,928",113.3,-33.92838794,151.1895915
2021,290,4536,5.7,1942,1091,851,0,258,32,0,40176,"257,127",51.8,-33.88594876,151.2302214
2022,351,2569,12.5,1987,1457,530,0,322,29,0,33800,"216,322",43.5,-33.89200889,151.2505339
2023,320,1713,13.7,2516,1254,1262,0,234,86,0,32095,"205,406",41.4,-33.88452741,151.2590172
2024,473,2213,18.6,3223,1933,1290,0,412,61,0,27898,"178,548",35.9,-33.90284494,151.2587021
2025,171,1730,8.6,1127,743,384,0,149,22,0,20893,"133,716",26.9,-33.88767923,151.2463791
2026,739,3876,17,4295,3095,1200,0,657,82,0,61928,"396,340",79.8,-33.89078513,151.2676449
2027,94,826,9.2,690,368,322,0,76,18,0,18381,"117,640",23.7,-33.87623085,151.2368867
2028,77,596,9.6,677,293,384,0,57,20,0,13647,"87,338",17.6,-33.87793577,151.243134
2029,233,1325,14,1619,941,678,0,185,48,0,26894,"172,120",34.6,-33.87207137,151.2696902
2030,570,3521,12.7,4223,2279,1944,0,447,123,0,52119,"333,559",67.3,-33.86605151,151.2788176
2031,898,5209,15.5,5560,3726,1834,0,806,92,0,92295,"590,691",119.1,-33.91523459,151.2454421
2032,505,3206,14,3078,2127,951,0,448,57,0,41528,"265,780",53.5,-33.92419813,151.230688
2033,266,1411,16,2130,1126,616,388,226,37,3,39241,"251,141",50.5,-33.91171985,151.2220105
2034,602,2669,19.6,3563,2504,1059,0,523,79,0,44349,"283,832",57.1,-33.91270075,151.2579117
2035,1470,7769,16.7,8753,5893,2860,0,1299,171,0,99434,"636,380",128.1,-33.94169324,151.2377714
2036,1641,6967,20.4,10598,6745,3618,235,1424,216,1,144448,"924,466",187.8,-33.96874333,151.2348191
2037,336,4676,6.6,1903,1221,682,0,308,28,0,39238,"251,120",50.5,-33.881207,151.1861181
2038,433,3032,13.7,1984,1672,312,0,415,18,0,31250,"200,002",40.4,-33.88531506,151.1693629
2039,319,2626,11.7,1549,1246,303,0,306,13,0,24977,"159,851",32.4,-33.86497181,151.172639
2040,1063,7261,13.6,5886,4201,1685,0,990,73,0,82259,"526,460",106.3,-33.88233226,151.1526574
2041,601,4854,11.8,2862,2320,542,0,571,30,0,37098,"237,430",47.8,-33.85390674,151.1818572
2042,636,5656,10.6,3076,2309,767,0,601,35,0,46923,"300,310",60.4,-33.89736773,151.1790964
2043,161,1823,8.3,840,570,270,0,151,10,0,16899,"108,152",21.7,-33.90243307,151.1848039
2044,496,2746,16.4,3962,1833,1139,990,451,44,1,57432,"367,562",74.8,-33.91585725,151.1708677
2045,392,2171,15.3,2936,1827,1109,0,332,60,0,35743,"228,753",46,-33.88092159,151.1398509
2046,1152,6610,14.9,7391,4595,2796,0,984,168,0,89524,"572,951",115.6,-33.86404291,151.1275985
2047,369,2272,14.3,2160,1546,614,0,326,43,0,34940,"223,615",45,-33.85229127,151.1524134
2048,296,2120,12.9,1760,1197,563,0,274,22,0,25607,"163,884",33,-33.89397178,151.1646814
2049,444,2637,15.8,2333,1768,565,0,416,28,0,36567,"234,029",47.1,-33.89311507,151.1504582
2050,184,1163,13.2,1607,543,1064,0,153,31,0,29015,"185,698",37.4,-33.88815607,151.1770997
2060,235,2419,8.2,1923,849,794,280,199,35,1,37266,"238,500",48.1,-33.84023623,151.2087821
2061,31,301,7.6,275,103,172,0,23,8,0,9251,"59,204",11.9,-33.84694154,151.2127674
2062,202,1388,13.5,1104,897,207,0,188,14,0,16051,"102,724",20.7,-33.82633199,151.2115469
2063,523,1972,21.5,3643,2088,1555,0,423,100,0,27190,"174,013",35,-33.8105396,151.2195434
2064,329,1275,19.9,3732,1226,1976,530,254,74,1,50149,"320,953",65.8,-33.80951264,151.1840453
2065,795,4746,15,5140,3141,1669,330,713,80,2,81120,"519,167",104.7,-33.82523818,151.2004598
2066,1645,6443,21.3,11092,6495,4437,160,1374,270,1,100326,"642,085",130,-33.80952696,151.1672145
2067,815,3948,18.3,4755,3225,1530,0,724,91,0,74471,"476,615",96.3,-33.79610033,151.1771728
2068,1152,5267,19.1,7037,5032,2005,0,1004,148,0,66930,"428,355",86.2,-33.79895046,151.201787
2069,959,4118,19.4,6277,3951,2326,0,800,159,0,67385,"431,262",86.9,-33.78173704,151.19229
2070,886,3371,21.5,5973,3674,2299,0,725,161,0,57358,"367,091",74,-33.7736715,151.1719635
2071,807,3306,18.8,5689,3132,2557,0,622,185,0,54334,"347,736",70,-33.76278131,151.1655432
2072,345,1693,15.8,2607,1279,1328,0,268,77,0,31217,"199,789",40.2,-33.75429558,151.1526631
2073,1078,4872,18.2,7748,4533,2735,480,885,191,2,74899,"479,353",96.4,-33.74780545,151.1373215
2074,1630,6518,20.7,10468,6563,3905,0,1348,282,0,104607,"669,482",134.5,-33.71899136,151.141143
2075,1423,6427,18,9894,6191,3703,0,1157,266,0,94073,"602,068",121.2,-33.72458552,151.1611602
2076,1558,7428,17.6,10416,6168,4075,173,1311,246,1,111816,"715,620",144,-33.7140835,151.1134154
2077,1897,7658,21.6,12676,7573,3861,1242,1657,237,3,143336,"917,348",185,-33.6979631,151.1040835
2079,661,2436,24,3640,2722,918,0,585,76,0,29769,"190,524",38.3,-33.67144201,151.1157416
2080,194,610,26.6,1482,740,742,0,162,32,0,19419,"124,281",25.5,-33.65707887,151.1352772
2081,663,1873,32.8,3329,2687,642,0,614,49,0,22743,"145,553",29.4,-33.60972839,151.1587767
2082,689,1858,34.4,3553,2843,710,0,640,49,0,23898,"152,947",30.8,-33.60008595,151.1421436
2083,232,874,23.2,1266,847,419,0,203,29,0,11829,"75,704",15.3,-33.53592215,151.2113844
2084,374,1161,25.7,2882,1488,1394,0,298,76,0,37406,"239,397",48.4,-33.68205894,151.2194715
2085,1180,4279,24.2,7123,4765,2358,0,1034,146,0,61073,"390,867",78.7,-33.72849637,151.2076039
2086,1165,4346,23.5,6806,4708,2098,0,1023,142,0,65602,"419,854",84.5,-33.75237057,151.2365308
2087,1104,4286,22.4,6344,4407,1937,0,962,142,0,56992,"364,751",73.5,-33.76666483,151.2162144
2088,1021,6085,13.7,7086,4142,2944,0,835,186,0,97321,"622,852",125.4,-33.82697925,151.2405348
2089,127,1167,9.2,904,487,417,0,107,20,0,23646,"151,337",30.5,-34.1486829,150.8981887
2090,259,1867,12.3,1464,999,465,0,229,30,0,28624,"183,193",36.9,-33.83030669,151.2258569
2092,556,2434,19,3737,2177,1560,0,462,94,0,28914,"185,047",37.3,-33.78485542,151.2410643
2093,1423,6138,20,9121,5879,3242,0,1226,197,0,76278,"488,182",98.4,-33.78640591,151.2530933
2094,240,1362,16.1,1311,1020,291,0,219,21,0,14438,"92,405",18.6,-33.79577127,151.2765012
2095,422,1733,21.1,2765,1761,1004,0,366,56,0,42011,"268,868",54.2,-33.79890584,151.2897169
2096,772,2928,23.1,4423,3197,1226,0,675,97,0,36039,"230,647",46.5,-33.77706457,151.2863812
2097,1058,3932,24.1,5804,4303,1501,0,949,109,0,50814,"325,208",65.5,-33.73380131,151.2946772
